task,model_type,language,task_type,train_time_main,train_primary_value_main,train_mse_main,train_r2_main,val_primary_value_main,val_mse_main,val_r2_main,test_primary_value_main,test_mse_main,test_r2_main,train_samples_main,val_samples_main,test_samples_main,train_accuracy_main,train_precision_main,train_recall_main,train_f1_main,val_accuracy_main,val_precision_main,val_recall_main,val_f1_main,test_accuracy_main,test_precision_main,test_recall_main,test_f1_main,train_time_control,train_primary_value_control,train_mse_control,train_r2_control,val_primary_value_control,val_mse_control,val_r2_control,test_primary_value_control,test_mse_control,test_r2_control,train_samples_control,val_samples_control,test_samples_control,train_accuracy_control,train_precision_control,train_recall_control,train_f1_control,val_accuracy_control,val_precision_control,val_recall_control,val_f1_control,test_accuracy_control,test_precision_control,test_recall_control,test_f1_control,test_accuracy_diff,test_accuracy_improvement,test_f1_diff,test_f1_improvement,test_mse_diff,test_mse_improvement,test_r2_diff,test_r2_improvement
avg_max_depth,Ridge,fi,regression,0.0039026737213134766,0.00888483762600953,0.00888483762600953,0.7134613481881706,0.029291954332178783,0.029291954332178783,0.35874061818754244,0.03668551923192413,0.03668551923192413,-0.20307593056288264,1195,63,110,,,,,,,,,,,,,0.0033392111460367837,0.01580084796486627,0.01580084796486627,0.4904179610348221,0.05460709734209551,0.05460709734209551,-0.19545842134870695,0.0349067255953488,0.0349067255953488,-0.14474163805708282,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0017787936365753348,-0.0017787936365753348,-0.05833429250579983,-0.05833429250579983
avg_max_depth,XGBRegressor,fi,regression,0.49144506454467773,0.008322969594353365,0.008322969594353365,0.7315817590570898,0.030412163495641183,0.030412163495641183,0.33421700233329377,0.022009724830127402,0.022009724830127402,0.2782064766744291,1195,63,110,,,,,,,,,,,,,0.5213681856791178,0.016116213628034195,0.016116213628034195,0.48024732474909565,0.04820090997961968,0.04820090997961968,-0.05521418563640612,0.031461149785915715,0.031461149785915715,-0.031746390612107746,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.009451424955788313,0.009451424955788313,0.30995286728653687,0.30995286728653687
avg_links_len,DummyRegressor,fi,regression,0.009379386901855469,0.007555863198473416,0.007555863198473416,0.0,0.022182998673081343,0.022182998673081343,-0.28978275776736395,0.02665640990917208,0.02665640990917208,-0.46978113996486237,1195,63,110,,,,,,,,,,,,,0.009054740269978842,0.007555863198473417,0.007555863198473417,0.0,0.02218299867308134,0.02218299867308134,-0.28978275776736395,0.02665640990917208,0.02665640990917208,-0.46978113996486237,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
avg_links_len,Ridge,fi,regression,0.0034437179565429688,0.002164897694760483,0.002164897694760483,0.7134810890702894,0.017694181433297335,0.017694181433297335,-0.02879013165915989,0.024483452343421523,0.024483452343421523,-0.34996860485730474,1195,63,110,,,,,,,,,,,,,0.003482977549235026,0.00386669715695835,0.00386669715695835,0.4882520957050181,0.02176282851854065,0.02176282851854065,-0.265352867623041,0.028566659166029833,0.028566659166029833,-0.5751084642342624,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.00408320682260831,0.00408320682260831,0.22513985937695769,0.22513985937695769
avg_links_len,XGBRegressor,fi,regression,0.6066205501556396,0.0019690645987169844,0.0019690645987169844,0.7393991199953417,0.020692652665434307,0.020692652665434307,-0.20312979384219565,0.027145756090695746,0.027145756090695746,-0.4967627099125027,1195,63,110,,,,,,,,,,,,,0.5453957716623942,0.0036726368722835214,0.0036726368722835214,0.5139354993846977,0.022693594610669846,0.022693594610669846,-0.3194702606245343,0.02806761691578097,0.02806761691578097,-0.5475922724454714,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.0009218608250852224,0.0009218608250852224,0.050829562532968664,0.050829562532968664
avg_subordinate_chain_len,DummyRegressor,fi,regression,0.009276151657104492,0.013927277183522697,0.013927277183522697,0.0,0.05767280596717133,0.05767280596717133,-0.18492767908157393,0.05447999337562531,0.05447999337562531,-0.2272027188652408,1195,63,110,,,,,,,,,,,,,0.009167671203613281,0.013927277183522697,0.013927277183522697,0.0,0.05767280596717133,0.05767280596717133,-0.18492767908157393,0.05447999337562531,0.05447999337562531,-0.2272027188652408,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
avg_subordinate_chain_len,Ridge,fi,regression,0.0034508705139160156,0.004868102002139094,0.004868102002139094,0.6504627618168952,0.03608388685312052,0.03608388685312052,0.258631592757107,0.04096401489466603,0.04096401489466603,0.0772548354078545,1195,63,110,,,,,,,,,,,,,0.0035587946573893228,0.006979194552464933,0.006979194552464933,0.4988830580092145,0.06092553256992361,0.06092553256992361,-0.25175719638094174,0.05573885733328148,0.05573885733328148,-0.25555957384621614,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.014774842438615453,0.014774842438615453,0.33281440925407063,0.33281440925407063
avg_subordinate_chain_len,XGBRegressor,fi,regression,0.4061410427093506,0.0014793162670628979,0.0014793162670628979,0.8937828085440082,0.04472126305289019,0.04472126305289019,0.08117072602602926,0.051533716178546414,0.051533716178546414,-0.1608356148559449,1195,63,110,,,,,,,,,,,,,0.35498205820719403,0.002971900289137393,0.002971900289137393,0.7866129717980025,0.06301312512938395,0.06301312512938395,-0.2946482290759238,0.05801502889402,0.05801502889402,-0.30683204571828143,1195.0,63.0,110.0,,,,,,,,,,,,,,,,,-0.006481312715473586,0.006481312715473586,0.14599643086233655,0.14599643086233655
lang_norm_complexity_score,DummyRegressor,id,regression,0.006796360015869141,0.03628673642523674,0.03628673642523674,0.0,0.05536810952221922,0.05536810952221922,-0.32430574216720065,0.0407871436372552,0.0407871436372552,-0.0003197757203539098,954,72,110,,,,,,,,,,,,,0.006771246592203776,0.03628673642523674,0.03628673642523674,0.0,0.05536810952221922,0.05536810952221922,-0.32430574216720065,0.0407871436372552,0.0407871436372552,-0.0003197757203539098,954.0,72.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
lang_norm_complexity_score,Ridge,id,regression,0.0031850337982177734,0.005906259784117233,0.005906259784117233,0.8372336460655211,0.03748197260646491,0.03748197260646491,0.1034985304929793,0.028471651456464738,0.028471651456464738,0.30172222275196503,954,72,110,,,,,,,,,,,,,0.003140608469645182,0.01962556423014498,0.01962556423014498,0.4591532288779827,0.057060253940934724,0.057060253940934724,-0.36477879767908955,0.04661365105032331,0.04661365105032331,-0.1432170239441691,954.0,72.0,110.0,,,,,,,,,,,,,,,,,-0.01814199959385857,0.01814199959385857,0.44493924669613416,0.44493924669613416
lang_norm_complexity_score,XGBRegressor,id,regression,0.42827391624450684,0.004234945809407387,0.004234945809407387,0.8832921825821166,0.046315048282037946,0.046315048282037946,-0.10777277602443958,0.026512058133975298,0.026512058133975298,0.34978197340009,954,72,110,,,,,,,,,,,,,0.3909923235575358,0.01860272387379554,0.01860272387379554,0.4873409486101456,0.05982562175843483,0.05982562175843483,-0.4309214294489195,0.04299898404805574,0.04299898404805574,-0.05456597945893216,954.0,72.0,110.0,,,,,,,,,,,,,,,,,-0.01648692591408044,0.01648692591408044,0.40434795285902214,0.40434795285902214
question_type,DummyClassifier,id,classification,0.006833791732788086,0.5209643605870021,,,0.5,,,0.5,,,954,72,110,0.5209643605870021,0.271403865001824,0.5209643605870021,0.3568839244820676,0.5,0.25,0.5,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.006714344024658203,0.5209643605870021,,,0.5,,,0.5,,,954.0,72.0,110.0,0.5209643605870021,0.271403865001824,0.5209643605870021,0.3568839244820676,0.5,0.25,0.5,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,,,,
question_type,LogisticRegression,id,classification,0.0025777816772460938,0.9874213836477987,,,0.7916666666666666,,,0.6727272727272727,,,954,72,110,0.9874213836477987,0.9874321793177385,0.9874213836477987,0.9874224357049136,0.7916666666666666,0.8217021276595745,0.7916666666666666,0.7866877345447363,0.6727272727272727,0.7224350787569178,0.6727272727272727,0.6533613445378151,0.0023097991943359375,0.8050314465408804,,,0.4953703703703704,,,0.47575757575757577,,,954.0,72.0,110.0,0.8050314465408804,0.8084527910965905,0.8050314465408804,0.8038326762994479,0.4953703703703704,0.4945216049382715,0.4953703703703704,0.4844936402939725,0.47575757575757577,0.4552076750554502,0.47575757575757577,0.45259357500736813,0.19696969696969696,0.19696969696969696,0.200767769530447,0.200767769530447,,,,
question_type,XGBClassifier,id,classification,0.3783257007598877,0.9926624737945493,,,0.7777777777777778,,,0.6545454545454545,,,954,72,110,0.9926624737945493,0.9926652885087603,0.9926624737945493,0.9926627887462296,0.7777777777777778,0.8272727272727273,0.7777777777777778,0.7690457097032879,0.6545454545454545,0.7703875072296125,0.6545454545454545,0.6131062569418734,0.3505723476409912,0.8466107617051013,,,0.47222222222222215,,,0.5333333333333333,,,954.0,72.0,110.0,0.8466107617051013,0.8564922544802958,0.8466107617051013,0.8448567169737325,0.47222222222222215,0.46727285395763657,0.47222222222222215,0.454462348561483,0.5333333333333333,0.5475703187109312,0.5333333333333333,0.5144335309425556,0.12121212121212122,0.12121212121212122,0.09867272599931776,0.09867272599931776,,,,
avg_verb_edges,DummyRegressor,id,regression,0.0068933963775634766,0.09851678768530606,0.09851678768530606,0.0,0.060352593807822305,0.060352593807822305,-0.0011107849701428307,0.06485921786072027,0.06485921786072027,-0.01548656468689491,954,72,110,,,,,,,,,,,,,0.0068225860595703125,0.09851678768530604,0.09851678768530604,0.0,0.0603525938078223,0.0603525938078223,-0.0011107849701427568,0.06485921786072027,0.06485921786072027,-0.01548656468689491,954.0,72.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
avg_verb_edges,Ridge,id,regression,0.003188610076904297,0.01594887474995826,0.01594887474995826,0.8381100812898605,0.04188454685696629,0.04188454685696629,0.30523165722395906,0.07346929237069276,0.07346929237069276,-0.15029261499428426,954,72,110,,,,,,,,,,,,,0.003046433130900065,0.0527610771838005,0.0527610771838005,0.46444582265170725,0.06458919760014754,0.06458919760014754,-0.07138630223535898,0.07832879658896622,0.07832879658896622,-0.22637680791953607,954.0,72.0,110.0,,,,,,,,,,,,,,,,,-0.0048595042182734555,0.0048595042182734555,0.07608419292525181,0.07608419292525181
avg_verb_edges,XGBRegressor,id,regression,0.40805864334106445,0.010736739480686291,0.010736739480686291,0.8910161432081722,0.0398456014235286,0.0398456014235286,0.3390530745747993,0.09006714617729518,0.09006714617729518,-0.41016157578620227,954,72,110,,,,,,,,,,,,,0.39327160517374676,0.05109369828487833,0.05109369828487833,0.4813706426554645,0.06655645073344114,0.06655645073344114,-0.10401850914228535,0.07151497878888964,0.07151497878888964,-0.11969435539504107,954.0,72.0,110.0,,,,,,,,,,,,,,,,,0.018552167388405538,-0.018552167388405538,-0.2904672203911612,-0.2904672203911612
lexical_density,DummyRegressor,id,regression,0.00688481330871582,0.04465473356033736,0.04465473356033736,0.0,0.05216841546132581,0.05216841546132581,-0.04937866194959151,0.05430819201618256,0.05430819201618256,-0.3272014229792417,954,72,110,,,,,,,,,,,,,0.0070565541585286455,0.04465473356033736,0.04465473356033736,0.0,0.05216841546132581,0.05216841546132581,-0.04937866194959151,0.05430819201618256,0.05430819201618256,-0.3272014229792417,954.0,72.0,110.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
lexical_density,Ridge,id,regression,0.003163576126098633,0.005504765536565723,0.005504765536565723,0.8767260467666278,0.027830452157960706,0.027830452157960706,0.44018459466871607,0.03369020515634808,0.03369020515634808,0.17666770768866435,954,72,110,,,,,,,,,,,,,0.0032041072845458984,0.024138015535331455,0.024138015535331455,0.45945225487201197,0.060738440055155274,0.060738440055155274,-0.22176651121855798,0.06418103869243762,0.06418103869243762,-0.568477290783442,954.0,72.0,110.0,,,,,,,,,,,,,,,,,-0.030490833536089536,0.030490833536089536,0.7451449984721064,0.7451449984721064
