model_key,task,model_type,experiment_type,submetric,source,layer,split,language,metric,value,is_control,control_index
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,r2,-0.12728559970855713,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mse,0.05401737987995148,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,rmse,0.23241639331155511,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mae,0.1905544102191925,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,r2,-0.2919987440109253,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mse,0.06678894907236099,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,rmse,0.258435580120774,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mae,0.21695291996002197,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,r2,-0.08852124214172363,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,mse,0.054173365235328674,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,rmse,0.23275172445189032,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,mae,0.19090670347213745,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,r2,-0.1499112844467163,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,mse,0.06184987351298332,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,rmse,0.24869634800893906,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,mae,0.1979149729013443,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,r2,-0.3295571804046631,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,mse,0.05892105773091316,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,rmse,0.24273660154767177,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,mae,0.19318686425685883,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,r2,-0.01577281951904297,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,mse,0.038640543818473816,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,rmse,0.19657198126506692,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,mae,0.1533021777868271,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,r2,-0.0026448965072631836,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,mse,0.04028290882706642,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,rmse,0.20070602588628578,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,mae,0.1596611589193344,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,r2,-0.020156025886535645,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,mse,0.040779586881399155,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,rmse,0.20193956244728065,True,2.0
dummy_complexity_control2_all,complexity,DummyRegressor,monolingual,,baseline,,test,id,mae,0.16276849806308746,True,2.0
