experiment_id,source,model,task,is_control,control_index,submetric,languages,test_mse,test_rmse,test_mae,test_r2,val_mse,val_rmse,val_mae,val_r2,train_time,has_per_language_metrics
tfidf_XGBRegressor_complexity_avg_verb_edges,tfidf,XGBRegressor,complexity,False,,avg_verb_edges,"ar,en,fi,id,ja,ko,ru",0.06620804220438004,0.2573092345882286,0.20660044252872467,-0.04751479625701904,0.036020196974277496,0.18978987584767923,0.14475172758102417,0.34407371282577515,168.07426023483276,True
tfidf_Ridge_complexity_control3_lexical_density,tfidf,Ridge,complexity,True,3.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.06173802559604393,0.24847137782055287,0.19614116036226337,-0.39966101603768833,0.042526716062377755,0.20622006707005444,0.16127241268541015,0.1579694476682575,0.1836833953857422,True
tfidf_Ridge_complexity_control3_avg_max_depth,tfidf,Ridge,complexity,True,3.0,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.04253094551886228,0.20623032153120036,0.1546621875721905,-0.0336800076350281,0.041969191979993735,0.2048638376580741,0.15524796327984175,-0.10767195878285585,0.18819093704223633,True
tfidf_Ridge_complexity_lexical_density,tfidf,Ridge,complexity,False,,lexical_density,"ar,en,fi,id,ja,ko,ru",0.05117392084392208,0.22621653530173713,0.17860967908245237,-0.16016249874414346,0.024298308096099074,0.15587914580244233,0.11628896698375907,0.5188926001980789,0.06363201141357422,True
tfidf_LogisticRegression_question_type,tfidf,LogisticRegression,question,False,,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,0.10635161399841309,True
tfidf_DummyRegressor_complexity_control3,tfidf,DummyRegressor,complexity,True,3.0,,"ar,en,fi,id,ja,ko,ru",0.04718531668186188,0.21722181447051278,0.17157766222953796,-0.042618393898010254,0.05940214544534683,0.2437255535337787,0.19818523526191711,-0.06714892387390137,0.0006809234619140625,True
tfidf_XGBRegressor_complexity,tfidf,XGBRegressor,complexity,False,,,"ar,en,fi,id,ja,ko,ru",0.022604431957006454,0.15034770353087024,0.11820846796035767,0.5005269050598145,0.025757428258657455,0.16049120928779076,0.12436210364103317,0.5372724533081055,173.02582907676697,True
tfidf_Ridge_complexity_control2,tfidf,Ridge,complexity,True,2.0,,"ar,en,fi,id,ja,ko,ru",0.04839423261099806,0.2199868919072181,0.1760088210857055,-0.06933099120938446,0.06119368838813863,0.2473735806187448,0.20174630291450335,-0.09933363449814658,0.0598752498626709,True
tfidf_Ridge_complexity_avg_max_depth,tfidf,Ridge,complexity,False,,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.024637873506684126,0.15696456130822692,0.12048048104062958,0.4011965413934825,0.0208270859508049,0.14431592410681815,0.10534839194017084,0.4503211045410648,0.07067084312438965,True
tfidf_XGBRegressor_complexity_avg_subordinate_chain_len,tfidf,XGBRegressor,complexity,False,,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.04516085982322693,0.21251084636607828,0.1428225040435791,0.13415294885635376,0.03562215715646744,0.18873832985503353,0.10980933904647827,0.37310701608657837,157.95057153701782,True
tfidf_XGBRegressor_complexity_control2_n_tokens,tfidf,XGBRegressor,complexity,True,2.0,n_tokens,"ar,en,fi,id,ja,ko,ru",0.04018303006887436,0.20045705292873672,0.14647454023361206,-0.02746284008026123,0.032673180103302,0.18075724080462724,0.13475249707698822,0.02637845277786255,164.66179203987122,True
tfidf_XGBRegressor_complexity_control3_avg_verb_edges,tfidf,XGBRegressor,complexity,True,3.0,avg_verb_edges,"ar,en,fi,id,ja,ko,ru",0.07578065246343613,0.2752828590076689,0.2274228036403656,-0.1989685297012329,0.057697050273418427,0.24020210297459602,0.20007476210594177,-0.05066084861755371,164.9686074256897,True
tfidf_XGBRegressor_complexity_control3_lexical_density,tfidf,XGBRegressor,complexity,True,3.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.06010548025369644,0.24516419039838677,0.1961907595396042,-0.3626495599746704,0.041580650955438614,0.20391334177890033,0.1603546142578125,0.1767016053199768,167.94832611083984,True
tfidf_DummyRegressor_complexity_control2,tfidf,DummyRegressor,complexity,True,2.0,,"ar,en,fi,id,ja,ko,ru",0.04718531668186188,0.21722181447051278,0.17157766222953796,-0.042618393898010254,0.05940214544534683,0.2437255535337787,0.19818523526191711,-0.06714892387390137,0.0007393360137939453,True
tfidf_Ridge_complexity_control3_avg_subordinate_chain_len,tfidf,Ridge,complexity,True,3.0,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.06862069317028749,0.2619555175412182,0.19436147075393886,-0.31563105629628585,0.06952765929403305,0.26368098015221547,0.186381778884247,-0.22357554480943964,0.1685934066772461,True
tfidf_XGBRegressor_complexity_control1_lexical_density,tfidf,XGBRegressor,complexity,True,1.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.05930711328983307,0.24353051818988328,0.19400878250598907,-0.34454989433288574,0.04056672751903534,0.2014118355981975,0.15965475142002106,0.19677728414535522,167.21388006210327,True
tfidf_DummyRegressor_complexity_control1,tfidf,DummyRegressor,complexity,True,1.0,,"ar,en,fi,id,ja,ko,ru",0.04718531668186188,0.21722181447051278,0.17157766222953796,-0.042618393898010254,0.05940214544534683,0.2437255535337787,0.19818523526191711,-0.06714892387390137,0.0006959438323974609,True
tfidf_Ridge_complexity_control3,tfidf,Ridge,complexity,True,3.0,,"ar,en,fi,id,ja,ko,ru",0.05271930345372578,0.229606845398228,0.18119310161090776,-0.1648988314617741,0.06666476686615211,0.258195210773074,0.2097365699093491,-0.1976205779114968,0.07814574241638184,True
tfidf_Ridge_complexity_control3_avg_links_len,tfidf,Ridge,complexity,True,3.0,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.040384600737272805,0.20095920167355563,0.14471782482403814,-0.46199218706596046,0.03140783094207819,0.1772225463705964,0.12994563201936776,-0.20055940268068317,0.4657163619995117,True
tfidf_Ridge_complexity_control1_lexical_density,tfidf,Ridge,complexity,True,1.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.05930828527397212,0.24353292441469207,0.19259769247684963,-0.3445764425505069,0.04123738419508339,0.20306989977611992,0.16021052514770617,0.18349826637046707,0.08916807174682617,True
tfidf_XGBClassifier_question_type_control2,tfidf,XGBClassifier,question,True,2.0,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,149.90793919563293,True
tfidf_XGBRegressor_complexity_control3_n_tokens,tfidf,XGBRegressor,complexity,True,3.0,n_tokens,"ar,en,fi,id,ja,ko,ru",0.04024888202548027,0.20062124021518826,0.14680102467536926,-0.029146552085876465,0.03419400379061699,0.18491620748494975,0.13809771835803986,-0.018940329551696777,166.37892413139343,True
tfidf_Ridge_complexity_control2_lexical_density,tfidf,Ridge,complexity,True,2.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.06245266890792159,0.24990531988719566,0.19891664702716177,-0.41586267416248757,0.04318960533984874,0.2078210897379011,0.16474679529437275,0.14484421543483128,0.11862993240356445,True
tfidf_XGBClassifier_question_type,tfidf,XGBClassifier,question,False,,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,145.28761529922485,True
tfidf_Ridge_complexity_avg_links_len,tfidf,Ridge,complexity,False,,avg_links_len,"ar,en,fi,id,ja,ko,ru",0.0276182713042068,0.16618745832404683,0.12081335252288831,0.00017095303973324594,0.016922442148271905,0.13008628731834845,0.08992663945783835,0.35314230788828116,0.07870912551879883,True
tfidf_Ridge_complexity_control1,tfidf,Ridge,complexity,True,1.0,,"ar,en,fi,id,ja,ko,ru",0.04897569807893945,0.22130453695968244,0.17379239627707305,-0.08217919670084828,0.06315823313570658,0.25131301823762847,0.20248373167927824,-0.13462632847304934,0.45349550247192383,True
tfidf_XGBRegressor_complexity_control3_avg_subordinate_chain_len,tfidf,XGBRegressor,complexity,True,3.0,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.06265184283256531,0.2503035014388838,0.18121129274368286,-0.20119309425354004,0.06646402180194855,0.25780617099276065,0.17687013745307922,-0.16966032981872559,156.746515750885,True
