experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ja,question_type,None,None,5,f1,0.7536231884057971
probe,ja,question_type,None,None,5,precision,0.6265060240963856
probe,ja,question_type,None,None,5,recall,0.9454545454545454
probe,ja,complexity,None,None,5,loss,0.016572984245916206
probe,ja,complexity,None,None,5,mse,0.016645682975649834
probe,ja,complexity,None,None,5,rmse,0.12901814979160814
probe,ja,complexity,None,None,5,r2,0.6802507638931274
probe,ko,question_type,None,None,5,loss,0.6510002059595925
probe,ko,question_type,None,None,5,accuracy,0.7181818181818181
probe,ko,question_type,None,None,5,f1,0.7207207207207207
probe,ko,question_type,None,None,5,precision,0.7142857142857143
probe,ko,question_type,None,None,5,recall,0.7272727272727273
probe,ko,complexity,None,None,5,loss,0.03677167743444443
probe,ko,complexity,None,None,5,mse,0.03677823767066002
probe,ko,complexity,None,None,5,rmse,0.19177653055225505
probe,ko,complexity,None,None,5,r2,-0.14197099208831787
probe,ru,question_type,None,None,5,loss,0.5236528047493526
probe,ru,question_type,None,None,5,accuracy,0.9727272727272728
probe,ru,question_type,None,None,5,f1,0.9734513274336283
probe,ru,question_type,None,None,5,precision,0.9482758620689655
probe,ru,question_type,None,None,5,recall,1.0
probe,ru,complexity,None,None,5,loss,0.0567194510783468
probe,ru,complexity,None,None,5,mse,0.05645507201552391
probe,ru,complexity,None,None,5,rmse,0.23760276095938765
probe,ru,complexity,None,None,5,r2,-0.4279778003692627
probe,ar,question_type,None,None,6,loss,0.7272904276847839
probe,ar,question_type,None,None,6,accuracy,0.7662337662337663
probe,ar,question_type,None,None,6,f1,0.6666666666666666
probe,ar,question_type,None,None,6,precision,0.5625
probe,ar,question_type,None,None,6,recall,0.8181818181818182
probe,ar,complexity,None,None,6,loss,0.034806641191244124
probe,ar,complexity,None,None,6,mse,0.03472450003027916
probe,ar,complexity,None,None,6,rmse,0.18634511002513363
probe,ar,complexity,None,None,6,r2,0.4013650417327881
probe,en,question_type,None,None,6,loss,0.5259564476353782
probe,en,question_type,None,None,6,accuracy,0.9636363636363636
probe,en,question_type,None,None,6,f1,0.9629629629629629
probe,en,question_type,None,None,6,precision,0.9811320754716981
probe,en,question_type,None,None,6,recall,0.9454545454545454
probe,en,complexity,None,None,6,loss,0.01723796209054334
probe,en,complexity,None,None,6,mse,0.01724899373948574
probe,en,complexity,None,None,6,rmse,0.1313354245414608
probe,en,complexity,None,None,6,r2,0.5524230599403381
probe,fi,question_type,None,None,6,loss,0.5577597277505058
probe,fi,question_type,None,None,6,accuracy,0.8909090909090909
probe,fi,question_type,None,None,6,f1,0.8947368421052632
probe,fi,question_type,None,None,6,precision,0.864406779661017
probe,fi,question_type,None,None,6,recall,0.9272727272727272
probe,fi,complexity,None,None,6,loss,0.026859186057533537
probe,fi,complexity,None,None,6,mse,0.02697366289794445
probe,fi,complexity,None,None,6,rmse,0.16423660644918492
probe,fi,complexity,None,None,6,r2,0.31689774990081787
probe,id,question_type,None,None,6,loss,0.5963372928755624
probe,id,question_type,None,None,6,accuracy,0.8090909090909091
probe,id,question_type,None,None,6,f1,0.8
probe,id,question_type,None,None,6,precision,0.84
probe,id,question_type,None,None,6,recall,0.7636363636363637
probe,id,complexity,None,None,6,loss,0.02890373659985406
probe,id,complexity,None,None,6,mse,0.028783269226551056
probe,id,complexity,None,None,6,rmse,0.16965632680967443
probe,id,complexity,None,None,6,r2,0.2940797209739685
probe,ja,question_type,None,None,6,loss,0.6443778375784556
probe,ja,question_type,None,None,6,accuracy,0.7065217391304348
probe,ja,question_type,None,None,6,f1,0.8029197080291971
probe,ja,question_type,None,None,6,precision,0.6707317073170732
