experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
64,ar,complexity,12,256,0.1,2e-5,rmse,0.23260881615476342
64,ar,complexity,12,256,0.1,2e-5,r2,0.06722182035446167
65,ar,complexity,12,256,0.25,1e-4,loss,0.0534290723502636
65,ar,complexity,12,256,0.25,1e-4,mse,0.05270567163825035
65,ar,complexity,12,256,0.25,1e-4,rmse,0.22957715835476827
65,ar,complexity,12,256,0.25,1e-4,r2,0.09137767553329468
66,ar,complexity,12,256,0.25,2e-5,loss,0.05610703453421593
66,ar,complexity,12,256,0.25,2e-5,mse,0.05540212243795395
66,ar,complexity,12,256,0.25,2e-5,rmse,0.23537655456301068
66,ar,complexity,12,256,0.25,2e-5,r2,0.04489201307296753
67,ar,complexity,12,384,0.01,1e-4,loss,0.044636300206184386
67,ar,complexity,12,384,0.01,1e-4,mse,0.044179122895002365
67,ar,complexity,12,384,0.01,1e-4,rmse,0.21018830342100953
67,ar,complexity,12,384,0.01,1e-4,r2,0.23837155103683472
68,ar,complexity,12,384,0.01,2e-5,loss,0.05154397711157799
68,ar,complexity,12,384,0.01,2e-5,mse,0.051010359078645706
68,ar,complexity,12,384,0.01,2e-5,rmse,0.22585473003381112
68,ar,complexity,12,384,0.01,2e-5,r2,0.12060415744781494
69,ar,complexity,12,384,0.1,1e-4,loss,0.04881317988038063
69,ar,complexity,12,384,0.1,1e-4,mse,0.04816874861717224
69,ar,complexity,12,384,0.1,1e-4,rmse,0.2194737993865606
69,ar,complexity,12,384,0.1,1e-4,r2,0.16959220170974731
70,ar,complexity,12,384,0.1,2e-5,loss,0.0553610734641552
70,ar,complexity,12,384,0.1,2e-5,mse,0.05467440187931061
70,ar,complexity,12,384,0.1,2e-5,rmse,0.23382558003629672
70,ar,complexity,12,384,0.1,2e-5,r2,0.05743765830993652
71,ar,complexity,12,384,0.25,1e-4,loss,0.05631646066904068
71,ar,complexity,12,384,0.25,1e-4,mse,0.05561480671167374
71,ar,complexity,12,384,0.25,1e-4,rmse,0.23582791758329577
71,ar,complexity,12,384,0.25,1e-4,r2,0.04122549295425415
72,ar,complexity,12,384,0.25,2e-5,loss,0.05666819512844086
72,ar,complexity,12,384,0.25,2e-5,mse,0.05598348751664162
72,ar,complexity,12,384,0.25,2e-5,rmse,0.23660829976279704
72,ar,complexity,12,384,0.25,2e-5,r2,0.034869611263275146
