task,language,experiment_type,test_primary_value_mean,test_primary_value_std,test_primary_value_count,test_mse_mean,test_mse_std,test_mse_count,test_r2_mean,test_r2_std,test_r2_count,test_samples_mean,test_samples_std,test_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_count,test_recall_mean,test_recall_std,test_recall_count,test_f1_mean,test_f1_std,test_f1_count
lang_norm_complexity_score,ko,control,0.0381329841648079,0.003015851609968275,9,0.0381329841648079,0.003015851609968275,9,-0.18403623085746248,0.0936427518407471,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ko,main,0.030120589874145648,0.006933141814888461,3,0.030120589874145648,0.006933141814888461,3,0.06475009792964814,0.21527533924493616,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ru,control,0.05961983913849792,0.0038893679279845632,9,0.05961983913849792,0.0038893679279845632,9,-0.5080278476065949,0.09837790959756786,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lang_norm_complexity_score,ru,main,0.042622649607058694,0.012381385106110636,3,0.042622649607058694,0.012381385106110636,3,-0.07809989887608071,0.31317551006104216,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,ar,control,0.06697723583157941,0.00432930128146978,9,0.06697723583157941,0.00432930128146978,9,-0.15417407417357462,0.07460396411287697,9,77.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,ar,main,0.06406612331876003,0.005564118323841359,3,0.06406612331876003,0.005564118323841359,3,-0.1040088120874042,0.09588274337209807,3,77.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,en,control,0.030950972565280857,0.0019730395047888377,9,0.030950972565280857,0.0019730395047888377,9,-0.08173311922904444,0.06895751574125016,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,en,main,0.028014962421023845,0.0008447823052943647,3,0.028014962421023845,0.0008447823052943647,3,0.020880115451596775,0.029525049535944516,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,fi,control,0.05996214663546409,0.005564416516233742,9,0.05996214663546409,0.005564416516233742,9,-0.3408321579522437,0.12442764350257729,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,fi,main,0.06501814550035181,0.008238905309809646,3,0.06501814550035181,0.008238905309809646,3,-0.45389091666923026,0.18423271689847442,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,id,control,0.060129055697004205,0.008057685925387933,9,0.060129055697004205,0.008057685925387933,9,-0.4694536002907727,0.19691637355388422,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,id,main,0.04467018585893548,0.01037429599049173,3,0.04467018585893548,0.01037429599049173,3,-0.09166466486419667,0.25353045074462605,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,ja,control,0.0656047188158177,0.004906979562479257,9,0.0656047188158177,0.004906979562479257,9,-0.2519891831425074,0.09364395496264437,9,92.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,ja,main,0.07900527766937833,0.0135520025506818,3,0.07900527766937833,0.0135520025506818,3,-0.5077231461189231,0.25862408847459994,3,92.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,ko,control,0.11025195007855114,0.0054612191613064515,9,0.11025195007855114,0.0054612191613064515,9,-1.7580544473671542,0.13661744563390055,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,ko,main,0.08651848409455158,0.01895164178143097,3,0.08651848409455158,0.01895164178143097,3,-1.1643398567229968,0.47409283793115997,3,110.0,0.0,3,,,0,,,0,,,0,,,0
lexical_density,ru,control,0.07233542060164949,0.0032384748231231563,9,0.07233542060164949,0.0032384748231231563,9,-0.7993927745367183,0.08055926334261206,9,110.0,0.0,9,,,0,,,0,,,0,,,0
lexical_density,ru,main,0.060822918406421726,0.010777532589366675,3,0.060822918406421726,0.010777532589366675,3,-0.5130114540905281,0.26809845173138014,3,110.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,ar,control,0.07952870702291329,0.0032701561912593853,9,0.07952870702291329,0.0032701561912593853,9,-0.061758778670743815,0.043658663313786476,9,77.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,ar,main,0.05097431774915926,0.02383030896760482,3,0.05097431774915926,0.02383030896760482,3,0.3194604642405622,0.3181497687055406,3,77.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,en,control,0.03089409116879544,0.002280110755965729,9,0.03089409116879544,0.002280110755965729,9,-0.6333507632206299,0.1205479916252023,9,110.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,en,main,0.025615598417472837,0.011074118546293244,3,0.025615598417472837,0.011074118546293244,3,-0.35428024074040865,0.5854815369307091,3,110.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,fi,control,0.014803078051064705,0.001553643793051934,9,0.014803078051064705,0.001553643793051934,9,-0.07063077206154464,0.11236709337921656,9,110.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,fi,main,0.01299788785347091,0.0034262694535735837,3,0.01299788785347091,0.0034262694535735837,3,0.05992938362369615,0.24780451050222854,3,110.0,0.0,3,,,0,,,0,,,0,,,0
