language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ja,0.0720668137073516,0.1061915755271911,0.1133792176842689,0.1165786236524581,0.11204980562130602,0.03998299191395442,35.68323183806733,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
ko,0.0546709597110748,0.0658425316214561,0.0661271512508392,0.0691906735301017,0.06705345213413234,0.012382492423057542,18.466599450074337,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
ru,0.0406591333448886,0.0536313578486442,0.0552598536014556,0.0540330074727535,0.05430807297428444,0.01364893962939584,25.132432218426874,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
ar,0.0284759625792503,0.0503295846283435,0.0510583892464637,0.0513339713215827,0.05090731506546329,0.022431352486212988,44.06312227892557,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
en,0.0116611588746309,0.0328743383288383,0.0276489779353141,0.0291863624006509,0.0299032262216011,0.0182420673469702,61.00367636517004,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
fi,0.0172411613166332,0.0357306897640228,0.036765594035387,0.0343495942652225,0.035615292688210766,0.018374131371577566,51.59056681755053,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
id,0.0285029225051403,0.0332420319318771,0.030579961836338,0.0284854751080274,0.030769156292080834,0.002266233786940533,7.365277635265552,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
ja,0.0633264556527137,0.0878545120358467,0.0905374065041542,0.0902355536818504,0.08954249074061711,0.026216035087903405,29.27775949838709,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
ko,0.0179967172443866,0.0390049405395984,0.0373823009431362,0.0382131189107894,0.038200120131174665,0.020203402886788065,52.8883229094882,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
ru,0.0149314971640706,0.0255890525877475,0.0250174757093191,0.0252894330769777,0.025298653791348102,0.010367156627277503,40.97908415515363,single_submetric,XGBRegressor,mse,test,avg_max_depth,overall
ar,0.041628148406744,0.0654896274209022,0.0677763000130653,0.0658589377999305,0.066374955077966,0.02474680667122199,37.28334978480009,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
en,0.0313834697008132,0.0489022471010685,0.054879929870367,0.0552156679332256,0.052999281634887034,0.02161581193407383,40.78510362269725,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
fi,0.0432578139007091,0.053676638752222,0.0646541267633438,0.0678032785654068,0.0620446813603242,0.0187868674596151,30.279577632948833,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
id,0.0428838320076465,0.0577124431729316,0.063899278640747,0.0619445890188217,0.06118543694416676,0.018301604936520263,29.911700970969505,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
ja,0.0377974472939968,0.0912926271557807,0.0917129069566726,0.08948964625597,0.09083172678947443,0.053034279495477635,58.387395428910025,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
ko,0.0260467641055583,0.0285967662930488,0.0299967788159847,0.0284854173660278,0.029026320825020435,0.0029795567194621335,10.265016835663793,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
ru,0.0328712575137615,0.0476131439208984,0.0502119250595569,0.0509998239576816,0.04960829764604563,0.01673704013228413,33.73838838756901,single_submetric,XGBRegressor,mse,val,avg_verb_edges,overall
ar,0.0424229316413402,0.0562052428722381,0.057950984686613,0.0615024827420711,0.05855290343364073,0.01612997179230053,27.54768909210621,complexity,XGBRegressor,mse,test,complexity,overall
en,0.01533043384552,0.040159922093153,0.0398009307682514,0.0418687872588634,0.04060988004008926,0.02527944619456926,62.24949733812042,complexity,XGBRegressor,mse,test,complexity,overall
fi,0.0194283053278923,0.0379438363015651,0.0412246063351631,0.0417835526168346,0.0403173317511876,0.020889026423295303,51.81152996981252,complexity,XGBRegressor,mse,test,complexity,overall
