language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ar,0.0376175865530967,0.0733201801776886,0.0722022876143455,0.0771559700369834,0.0742261459430058,0.0366085593899091,49.32030206447581,single_submetric,XGBRegressor,mse,test,n_tokens,
en,0.0183263104408979,0.0260500591248273,0.0243929997086524,0.0265314485877752,0.0256581691404183,0.0073318586995204,28.57514368774977,single_submetric,XGBRegressor,mse,test,n_tokens,
fi,0.0114493938162922,0.0170996394008398,0.0189639776945114,0.0180315468460321,0.0180317213137944,0.0065823274975022,36.50415499970429,single_submetric,XGBRegressor,mse,test,n_tokens,
id,0.0349365174770355,0.0313070490956306,0.0330189280211925,0.0283255260437726,0.0308838343868652,-0.0040526830901702,-13.12234432876592,single_submetric,XGBRegressor,mse,test,n_tokens,
ja,0.0282169114798307,0.0647917687892913,0.0646638646721839,0.062894307076931,0.0641166468461354,0.0358997353663047,55.991286400948994,single_submetric,XGBRegressor,mse,test,n_tokens,
ko,0.0333123840391635,0.0676255598664283,0.0668108463287353,0.068296231329441,0.0675775458415348,0.0342651618023713,50.70495143863472,single_submetric,XGBRegressor,mse,test,n_tokens,
ru,0.0089824656024575,0.0143938418477773,0.0148400207981467,0.0152848875150084,0.0148395833869774,0.0058571177845199,39.469556737420966,single_submetric,XGBRegressor,mse,test,n_tokens,
ar,0.0905166101641355,0.1164934531424105,0.1309330528424253,0.1304091962502552,0.1259452340783636,0.0354286239142281,28.130182276039385,single_submetric,Ridge,mse,test,avg_verb_edges,
en,0.0452925471327799,0.0706038606889086,0.0638451445237932,0.0651029794548882,0.06651732822253,0.02122478108975,31.90864945558814,single_submetric,Ridge,mse,test,avg_verb_edges,
fi,0.0661138561069919,0.0841884158302555,0.0893843093624351,0.0921129285466099,0.0885618845797668,0.0224480284727749,25.347279565348696,single_submetric,Ridge,mse,test,avg_verb_edges,
id,0.0696084322401399,0.0730927063959032,0.0732534091577908,0.0792809969017935,0.0752090374851625,0.0056006052450225,7.446718416157767,single_submetric,Ridge,mse,test,avg_verb_edges,
ja,0.0941966525014839,0.1005827650304602,0.1090257874864059,0.1115290103835405,0.1070458543001355,0.0128492017986516,12.003455792528872,single_submetric,Ridge,mse,test,avg_verb_edges,
ko,0.0377534540249676,0.0395541751432741,0.0488515373643492,0.0354171346997731,0.0412742824024654,0.0035208283774978,8.530320026321164,single_submetric,Ridge,mse,test,avg_verb_edges,
ru,0.0419691869629715,0.0529146396041749,0.0463379642418295,0.0542701264790569,0.0511742434416871,0.0092050564787156,17.987674774722834,single_submetric,Ridge,mse,test,avg_verb_edges,
ar,0.0494277986306719,0.0773614504321878,0.079381802476142,0.0839556352924048,0.0802329627335782,0.0308051641029063,38.39464859997507,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
en,0.0154628104781148,0.0288806495939968,0.0299724323234565,0.0298526779925206,0.0295685866366579,0.0141057761585431,47.70527699506402,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
fi,0.0370485505749417,0.0499807054875461,0.0527445258447442,0.0557158816488653,0.0528137043270518,0.0157651537521101,29.850497996663066,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
id,0.0352834767870278,0.0762488177278367,0.0713188638712342,0.0765515879919051,0.074706423196992,0.0394229464099642,52.77049110758596,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
ja,0.0695824108894331,0.1087141779287049,0.1058930582207126,0.1155729896718254,0.1100600752737476,0.0404776643843145,36.77779093248501,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
ko,0.0450828193154523,0.0711960917925989,0.0616790738033208,0.0734455531921434,0.0687735729293543,0.023690753613902,34.44746667188239,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
ru,0.0318440036548939,0.0564020633935432,0.053076940649082,0.0575341121028708,0.0556710387151653,0.0238270350602714,42.79969551525669,single_submetric,Ridge,mse,test,avg_subordinate_chain_len,
ar,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
en,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
fi,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
id,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438658,-6.938893903907228e-18,-1.3103532628672362e-14,single_submetric,DummyRegressor,mse,test,lexical_density,
ja,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
ko,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
ru,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0,0.0,single_submetric,DummyRegressor,mse,test,lexical_density,
ar,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
en,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
fi,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
id,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
ja,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
ko,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
ru,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_links_len,
ar,0.0382494411190466,0.0814282705344884,0.0750463839723014,0.0864672160874054,0.0809806235313984,0.0427311824123518,52.76716892132073,single_submetric,Ridge,mse,test,n_tokens,
en,0.0268395356320768,0.03057341460509,0.0297189607478755,0.0305273363716992,0.0302732372415549,0.0034337016094781,11.342366797709998,single_submetric,Ridge,mse,test,n_tokens,
