model_type,language,task,submetric,control_index,layer_index,metric,value
Ridge,ja,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.1100600752737476
DummyRegressor,ja,single_submetric,avg_subordinate_chain_len,,,mse,0.130652517080307
DummyRegressor,ja,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.130652517080307
XGBRegressor,ja,single_submetric,avg_verb_edges,,,mse,0.0968089178204536
XGBRegressor,ja,single_submetric,avg_verb_edges,mean_control,,mse,0.1091152156392732
Ridge,ja,single_submetric,avg_verb_edges,,,mse,0.0941966525014839
Ridge,ja,single_submetric,avg_verb_edges,mean_control,,mse,0.1070458543001355
DummyRegressor,ja,single_submetric,avg_verb_edges,,,mse,0.1018375754356384
DummyRegressor,ja,single_submetric,avg_verb_edges,mean_control,,mse,0.1018375754356383
XGBRegressor,ja,single_submetric,lexical_density,,,mse,0.077939473092556
XGBRegressor,ja,single_submetric,lexical_density,mean_control,,mse,0.0653172135353088
DummyRegressor,ja,single_submetric,lexical_density,,,mse,0.0630531162023544
DummyRegressor,ja,single_submetric,lexical_density,mean_control,,mse,0.0630531162023544
Ridge,ja,single_submetric,lexical_density,,,mse,0.0770873584933994
Ridge,ja,single_submetric,lexical_density,mean_control,,mse,0.0635983683767304
XGBRegressor,ja,single_submetric,n_tokens,,,mse,0.0282169114798307
XGBRegressor,ja,single_submetric,n_tokens,mean_control,,mse,0.0641166468461354
Ridge,ja,single_submetric,n_tokens,,,mse,0.0348731746475535
Ridge,ja,single_submetric,n_tokens,mean_control,,mse,0.0609912581141803
DummyRegressor,ja,single_submetric,n_tokens,,,mse,0.0743818506598472
DummyRegressor,ja,single_submetric,n_tokens,mean_control,,mse,0.0743818506598472
DummyRegressor,ko,complexity,complexity,,,mse,0.0356804206967353
DummyRegressor,ko,complexity,complexity,mean_control,,mse,0.0356804206967353
XGBRegressor,ko,complexity,complexity,,,mse,0.0156495179980993
XGBRegressor,ko,complexity,complexity,mean_control,,mse,0.0369604354103406
Ridge,ko,complexity,complexity,,,mse,0.0190589824799033
Ridge,ko,complexity,complexity,mean_control,,mse,0.038395083609313
DummyClassifier,ko,question_type,overall,,,accuracy,0.5
DummyClassifier,ko,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,ko,question_type,overall,,,accuracy,0.6636363636363637
LogisticRegression,ko,question_type,overall,mean_control,,accuracy,0.4848484848484848
XGBClassifier,ko,question_type,overall,,,accuracy,0.6636363636363637
XGBClassifier,ko,question_type,overall,mean_control,,accuracy,0.5121212121212121
XGBRegressor,ko,single_submetric,avg_links_len,,,mse,0.017975041642785
XGBRegressor,ko,single_submetric,avg_links_len,mean_control,,mse,0.0278948632379372
DummyRegressor,ko,single_submetric,avg_links_len,,,mse,0.0272975992411375
DummyRegressor,ko,single_submetric,avg_links_len,mean_control,,mse,0.0272975992411375
Ridge,ko,single_submetric,avg_links_len,,,mse,0.0200660760247972
Ridge,ko,single_submetric,avg_links_len,mean_control,,mse,0.0270284379335132
DummyRegressor,ko,single_submetric,avg_max_depth,,,mse,0.0354413166642189
DummyRegressor,ko,single_submetric,avg_max_depth,mean_control,,mse,0.0354413166642189
Ridge,ko,single_submetric,avg_max_depth,,,mse,0.0219654392846419
Ridge,ko,single_submetric,avg_max_depth,mean_control,,mse,0.0395898770622794
XGBRegressor,ko,single_submetric,avg_max_depth,,,mse,0.0179967172443866
XGBRegressor,ko,single_submetric,avg_max_depth,mean_control,,mse,0.0382001201311746
XGBRegressor,ko,single_submetric,avg_subordinate_chain_len,,,mse,0.0546709597110748
XGBRegressor,ko,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0670534521341323
Ridge,ko,single_submetric,avg_subordinate_chain_len,,,mse,0.0450828193154523
Ridge,ko,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0687735729293543
DummyRegressor,ko,single_submetric,avg_subordinate_chain_len,,,mse,0.0779614672064781
DummyRegressor,ko,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0779614672064781
XGBRegressor,ko,single_submetric,avg_verb_edges,,,mse,0.0371718592941761
XGBRegressor,ko,single_submetric,avg_verb_edges,mean_control,,mse,0.0385300902028878
Ridge,ko,single_submetric,avg_verb_edges,,,mse,0.0377534540249676
Ridge,ko,single_submetric,avg_verb_edges,mean_control,,mse,0.0412742824024654
DummyRegressor,ko,single_submetric,avg_verb_edges,,,mse,0.0354208461940288
DummyRegressor,ko,single_submetric,avg_verb_edges,mean_control,,mse,0.0354208461940288
XGBRegressor,ko,single_submetric,lexical_density,,,mse,0.0626168400049209
XGBRegressor,ko,single_submetric,lexical_density,mean_control,,mse,0.0799572616815566
DummyRegressor,ko,single_submetric,lexical_density,,,mse,0.0399788543581962
DummyRegressor,ko,single_submetric,lexical_density,mean_control,,mse,0.0399788543581962
Ridge,ko,single_submetric,lexical_density,,,mse,0.0592314564206086
Ridge,ko,single_submetric,lexical_density,mean_control,,mse,0.081245444051784
XGBRegressor,ko,single_submetric,n_tokens,,,mse,0.0333123840391635
XGBRegressor,ko,single_submetric,n_tokens,mean_control,,mse,0.0675775458415348
Ridge,ko,single_submetric,n_tokens,,,mse,0.0462046010926254
Ridge,ko,single_submetric,n_tokens,mean_control,,mse,0.0713744003794265
DummyRegressor,ko,single_submetric,n_tokens,,,mse,0.046861432492733
DummyRegressor,ko,single_submetric,n_tokens,mean_control,,mse,0.046861432492733
DummyRegressor,ru,complexity,complexity,,,mse,0.0590713657438755
DummyRegressor,ru,complexity,complexity,mean_control,,mse,0.0590713657438755
XGBRegressor,ru,complexity,complexity,,,mse,0.0242598485201597
XGBRegressor,ru,complexity,complexity,mean_control,,mse,0.0600706885258356
Ridge,ru,complexity,complexity,,,mse,0.0260710696889433
Ridge,ru,complexity,complexity,mean_control,,mse,0.0628741967079302
DummyClassifier,ru,question_type,overall,,,accuracy,0.5
DummyClassifier,ru,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,ru,question_type,overall,,,accuracy,0.8
LogisticRegression,ru,question_type,overall,mean_control,,accuracy,0.4878787878787878
XGBClassifier,ru,question_type,overall,,,accuracy,0.8727272727272727
XGBClassifier,ru,question_type,overall,mean_control,,accuracy,0.5757575757575758
XGBRegressor,ru,single_submetric,avg_links_len,,,mse,0.0225561112165451
XGBRegressor,ru,single_submetric,avg_links_len,mean_control,,mse,0.021012470126152
DummyRegressor,ru,single_submetric,avg_links_len,,,mse,0.021772077307105
DummyRegressor,ru,single_submetric,avg_links_len,mean_control,,mse,0.021772077307105
Ridge,ru,single_submetric,avg_links_len,,,mse,0.0188515791466277
Ridge,ru,single_submetric,avg_links_len,mean_control,,mse,0.0211613622200793
DummyRegressor,ru,single_submetric,avg_max_depth,,,mse,0.0247595012187957
DummyRegressor,ru,single_submetric,avg_max_depth,mean_control,,mse,0.0247595012187957
Ridge,ru,single_submetric,avg_max_depth,,,mse,0.0140535594275892
Ridge,ru,single_submetric,avg_max_depth,mean_control,,mse,0.0271064177857917
XGBRegressor,ru,single_submetric,avg_max_depth,,,mse,0.0149314971640706
XGBRegressor,ru,single_submetric,avg_max_depth,mean_control,,mse,0.0252986537913481
XGBRegressor,ru,single_submetric,avg_subordinate_chain_len,,,mse,0.0406591333448886
